LAKE_NAME,SAMPLE_DATE,date_val,DEPTH,TEMPERATURE,DAY,MONTH,YEAR,DISSOLVED_O2
Blue_Chalk,20-May-81,29726,0.1,12.14,20,5,1981,
Blue_Chalk,20-May-81,29726,1,11.32,20,5,1981,
Blue_Chalk,20-May-81,29726,2,11.22,20,5,1981,
Blue_Chalk,20-May-81,29726,3,11.1,20,5,1981,
Blue_Chalk,20-May-81,29726,4,11,20,5,1981,
Blue_Chalk,20-May-81,29726,5,10.74,20,5,1981,
Blue_Chalk,20-May-81,29726,6,10.43,20,5,1981,
Blue_Chalk,20-May-81,29726,6.5,10.25,20,5,1981,
Blue_Chalk,20-May-81,29726,7,9.95,20,5,1981,
Blue_Chalk,20-May-81,29726,7.5,8.95,20,5,1981,
Blue_Chalk,20-May-81,29726,8,8.22,20,5,1981,
Blue_Chalk,20-May-81,29726,9,7.45,20,5,1981,
Blue_Chalk,20-May-81,29726,10,6.78,20,5,1981,
Blue_Chalk,20-May-81,29726,11,6.62,20,5,1981,
Blue_Chalk,20-May-81,29726,12,6.48,20,5,1981,
Blue_Chalk,20-May-81,29726,13,6.4,20,5,1981,
Blue_Chalk,20-May-81,29726,14,6.33,20,5,1981,
Blue_Chalk,20-May-81,29726,15,6.28,20,5,1981,
Blue_Chalk,20-May-81,29726,17,6.22,20,5,1981,
Blue_Chalk,20-May-81,29726,19,6.18,20,5,1981,
Blue_Chalk,20-May-81,29726,21,6.1,20,5,1981,
Blue_Chalk,26-May-81,29732,0.1,16.33,26,5,1981,
Blue_Chalk,26-May-81,29732,1,15.9,26,5,1981,
Blue_Chalk,26-May-81,29732,2,15.44,26,5,1981,
Blue_Chalk,26-May-81,29732,2.5,14.23,26,5,1981,
Blue_Chalk,26-May-81,29732,3,13.52,26,5,1981,
Blue_Chalk,26-May-81,29732,4,12.61,26,5,1981,
Blue_Chalk,26-May-81,29732,5,12.12,26,5,1981,
Blue_Chalk,26-May-81,29732,6,11.43,26,5,1981,
Blue_Chalk,26-May-81,29732,7,10.49,26,5,1981,
Blue_Chalk,26-May-81,29732,8,9.13,26,5,1981,
Blue_Chalk,26-May-81,29732,9,7.73,26,5,1981,
Blue_Chalk,26-May-81,29732,10,6.93,26,5,1981,
Blue_Chalk,26-May-81,29732,11,6.72,26,5,1981,
Blue_Chalk,26-May-81,29732,13,6.45,26,5,1981,
Blue_Chalk,26-May-81,29732,15,6.33,26,5,1981,
Blue_Chalk,26-May-81,29732,17,6.21,26,5,1981,
Blue_Chalk,26-May-81,29732,19,6.15,26,5,1981,
Blue_Chalk,26-May-81,29732,21,6.11,26,5,1981,
Blue_Chalk,02-Jun-81,29739,0.1,18.08,2,6,1981,
Blue_Chalk,02-Jun-81,29739,1,17.98,2,6,1981,
Blue_Chalk,02-Jun-81,29739,2,17.81,2,6,1981,
Blue_Chalk,02-Jun-81,29739,3,16.69,2,6,1981,
Blue_Chalk,02-Jun-81,29739,3.5,15.85,2,6,1981,
Blue_Chalk,02-Jun-81,29739,4,14.99,2,6,1981,
Blue_Chalk,02-Jun-81,29739,5,13.32,2,6,1981,
Blue_Chalk,02-Jun-81,29739,6,12.19,2,6,1981,
Blue_Chalk,02-Jun-81,29739,7,10.82,2,6,1981,
Blue_Chalk,02-Jun-81,29739,8,9.63,2,6,1981,
Blue_Chalk,02-Jun-81,29739,9,8.18,2,6,1981,
Blue_Chalk,02-Jun-81,29739,10,7.53,2,6,1981,
Blue_Chalk,02-Jun-81,29739,11,7.09,2,6,1981,
Blue_Chalk,02-Jun-81,29739,12,6.82,2,6,1981,
Blue_Chalk,02-Jun-81,29739,13,6.62,2,6,1981,
Blue_Chalk,02-Jun-81,29739,15,6.4,2,6,1981,
Blue_Chalk,02-Jun-81,29739,17,6.24,2,6,1981,
Blue_Chalk,02-Jun-81,29739,19,6.15,2,6,1981,
Blue_Chalk,02-Jun-81,29739,21,6.07,2,6,1981,
Blue_Chalk,02-Jun-81,29739,22,5.99,2,6,1981,
Blue_Chalk,09-Jun-81,29746,0.1,18.22,9,6,1981,
Blue_Chalk,09-Jun-81,29746,1,18.21,9,6,1981,
Blue_Chalk,09-Jun-81,29746,2,18.19,9,6,1981,
Blue_Chalk,09-Jun-81,29746,3,18.17,9,6,1981,
Blue_Chalk,09-Jun-81,29746,4,16.08,9,6,1981,
Blue_Chalk,09-Jun-81,29746,5,14.41,9,6,1981,
Blue_Chalk,09-Jun-81,29746,6,12.96,9,6,1981,
Blue_Chalk,09-Jun-81,29746,7,11.54,9,6,1981,
Blue_Chalk,09-Jun-81,29746,8,10.41,9,6,1981,
Blue_Chalk,09-Jun-81,29746,9,9.12,9,6,1981,
Blue_Chalk,09-Jun-81,29746,10,7.78,9,6,1981,
Blue_Chalk,09-Jun-81,29746,11,7.19,9,6,1981,
Blue_Chalk,09-Jun-81,29746,12,6.91,9,6,1981,
Blue_Chalk,09-Jun-81,29746,13,6.67,9,6,1981,
Blue_Chalk,09-Jun-81,29746,15,6.46,9,6,1981,
Blue_Chalk,09-Jun-81,29746,17,6.3,9,6,1981,
Blue_Chalk,09-Jun-81,29746,19,6.15,9,6,1981,
Blue_Chalk,09-Jun-81,29746,21,6.05,9,6,1981,
Blue_Chalk,09-Jun-81,29746,22.1,6.02,9,6,1981,
Blue_Chalk,16-Jun-81,29753,0.1,21.46,16,6,1981,
Blue_Chalk,16-Jun-81,29753,1,21.44,16,6,1981,
Blue_Chalk,16-Jun-81,29753,2,19.94,16,6,1981,
Blue_Chalk,16-Jun-81,29753,3,19.14,16,6,1981,
Blue_Chalk,16-Jun-81,29753,4,18.44,16,6,1981,
Blue_Chalk,16-Jun-81,29753,4.5,17.32,16,6,1981,
Blue_Chalk,16-Jun-81,29753,5,16,16,6,1981,
Blue_Chalk,16-Jun-81,29753,5.5,14.87,16,6,1981,
Blue_Chalk,16-Jun-81,29753,6,13.58,16,6,1981,
Blue_Chalk,16-Jun-81,29753,7,12.23,16,6,1981,
Blue_Chalk,16-Jun-81,29753,8,10.41,16,6,1981,
Blue_Chalk,16-Jun-81,29753,9,9.23,16,6,1981,
Blue_Chalk,16-Jun-81,29753,10,8.29,16,6,1981,
Blue_Chalk,16-Jun-81,29753,11,7.66,16,6,1981,
Blue_Chalk,16-Jun-81,29753,12,7.08,16,6,1981,
Blue_Chalk,16-Jun-81,29753,13,6.82,16,6,1981,
Blue_Chalk,16-Jun-81,29753,15,6.6,16,6,1981,
Blue_Chalk,16-Jun-81,29753,17,6.36,16,6,1981,
Blue_Chalk,16-Jun-81,29753,19,6.2,16,6,1981,
Blue_Chalk,16-Jun-81,29753,21,6.1,16,6,1981,
Blue_Chalk,16-Jun-81,29753,22,6.07,16,6,1981,
Blue_Chalk,23-Jun-81,29760,0.1,19.75,23,6,1981,
Blue_Chalk,23-Jun-81,29760,1,19.74,23,6,1981,
Blue_Chalk,23-Jun-81,29760,2,19.73,23,6,1981,
Blue_Chalk,23-Jun-81,29760,3,19.68,23,6,1981,
Blue_Chalk,23-Jun-81,29760,4,19.61,23,6,1981,
